x,y
452,4084
452,4085
452,4086
451,4087
451,4088
451,4089
451,4090
451,4091
451,4092
450,4093
450,4094
450,4095
450,4096
450,4097
450,4098
450,4099
449,4100
449,4101
449,4102
449,4103
449,4104
449,4105
448,4106
448,4107
448,4108
448,4109
448,4110
448,4111
448,4112
447,4113
447,4114
447,4115
447,4116
446,4117
445,4118
444,4119
443,4120
442,4121
441,4122
440,4123
440,4124
439,4125
439,4126
438,4127
437,4128
437,4129
436,4130
435,4131
435,4132
434,4133
434,4134
433,4135
432,4136
432,4137
431,4138
430,4139
430,4140
430,4141
429,4142
428,4143
427,4144
427,4145
426,4146
425,4147
425,4148
424,4149
423,4150
423,4151
422,4152
422,4153
421,4154
420,4155
420,4156
419,4157
418,4158
418,4159
417,4160
416,4161
416,4162
416,4163
416,4164
416,4165
416,4166
415,4167
414,4168
413,4169
412,4170
411,4171
410,4172
410,4173
409,4174
408,4175
408,4176
407,4177
406,4178
406,4179
405,4180
404,4181
404,4182
403,4183
403,4184
402,4185
