x,y
268 , 956
268 , 957
268 , 958
268 , 959
268 , 960
268 , 961
268 , 962
268 , 963
268 , 964
269 , 965
270 , 966
271 , 967
272 , 968
273 , 969
274 , 970
275 , 971
276 , 972
277 , 973
278 , 974
278 , 975
278 , 976
278 , 977
278 , 978
278 , 979
278 , 980
278 , 981
279 , 982
280 , 983
281 , 984
282 , 985
283 , 986
284 , 987
285 , 988
285 , 989
285 , 990
285 , 991
285 , 992
285 , 993
285 , 994
285 , 995
285 , 996
285 , 997
285 , 998
285 , 999
285 ,1000
285 ,1001
285 ,1002
285 ,1003
285 ,1004
285 ,1005
285 ,1006
285 ,1007
285 ,1008
285 ,1009
286 ,1010
287 ,1011
288 ,1012
289 ,1013
289 ,1014
289 ,1015
289 ,1016
289 ,1017
289 ,1018
289 ,1019
289 ,1020
289 ,1021
289 ,1022
289 ,1023
289 ,1024
289 ,1025
289 ,1026
289 ,1027
289 ,1028
289 ,1029
289 ,1030
289 ,1031
289 ,1032
289 ,1033
289 ,1034
289 ,1035
289 ,1036
289 ,1037
289 ,1038
289 ,1039
289 ,1040
289 ,1041
289 ,1042
289 ,1043
289 ,1044
289 ,1045
289 ,1046
289 ,1047
289 ,1048
289 ,1049
288 ,1050
287 ,1051
286 ,1052
285 ,1053
284 ,1054
283 ,1055
283 ,1056
283 ,1057
283 ,1058
283 ,1059
283 ,1060
283 ,1061
283 ,1062
283 ,1063
283 ,1064
283 ,1065
283 ,1066
283 ,1067
283 ,1068
283 ,1069
283 ,1070
283 ,1071
283 ,1072
283 ,1073
283 ,1074
283 ,1075
283 ,1076
283 ,1077
283 ,1078
283 ,1079
282 ,1080
282 ,1081
282 ,1082
282 ,1083
282 ,1084
282 ,1085
282 ,1086
282 ,1087
282 ,1088
281 ,1089
281 ,1090
281 ,1091
281 ,1092
281 ,1093
281 ,1094
281 ,1095
281 ,1096
281 ,1097
281 ,1098
281 ,1099
281 ,1100
281 ,1101
281 ,1102
281 ,1103
281 ,1104
281 ,1105
281 ,1106
281 ,1107
281 ,1108
281 ,1109
281 ,1110
281 ,1111
282 ,1112
282 ,1113
282 ,1114
282 ,1115
282 ,1116
282 ,1117
282 ,1118
282 ,1119
282 ,1120
282 ,1121
282 ,1122
282 ,1123
282 ,1124
282 ,1125
281 ,1126
280 ,1127
280 ,1128
279 ,1129
278 ,1130
278 ,1131
278 ,1132
277 ,1133
276 ,1134
276 ,1135
276 ,1136
276 ,1137
275 ,1137
274 ,1137
273 ,1137
272 ,1137
271 ,1138
270 ,1139
269 ,1140
268 ,1140
267 ,1141
266 ,1142
265 ,1143
264 ,1144
263 ,1145
262 ,1146
261 ,1147
260 ,1148
259 ,1149
258 ,1150
257 ,1151
257 ,1152
257 ,1153
257 ,1154
257 ,1155
257 ,1156
257 ,1157
257 ,1158
257 ,1159
257 ,1160
257 ,1161
257 ,1162
257 ,1163
256 ,1164
255 ,1165
254 ,1166
253 ,1167
253 ,1168
253 ,1169
253 ,1170
253 ,1171
253 ,1172
253 ,1173
253 ,1174
253 ,1175
253 ,1176
253 ,1177
253 ,1178
253 ,1179
253 ,1180
253 ,1181
253 ,1182
253 ,1183
253 ,1184
